天數,階段,重點,預期時間,完成狀態,感覺評分,備註
1,第1期,適應運動習慣,10-15分鐘,□ 已完成,□ 1-5分,
2,第1期,適應運動習慣,10-15分鐘,□ 已完成,□ 1-5分,
3,第1期,適應運動習慣,10-15分鐘,□ 已完成,□ 1-5分,
4,第1期,適應運動習慣,10-15分鐘,□ 已完成,□ 1-5分,
5,第1期,適應運動習慣,10-15分鐘,□ 已完成,□ 1-5分,
6,第1期,適應運動習慣,10-15分鐘,□ 已完成,□ 1-5分,
7,第1期,適應運動習慣,10-15分鐘,□ 已完成,□ 1-5分,
8,第1期,適應運動習慣,10-15分鐘,□ 已完成,□ 1-5分,
9,第1期,適應運動習慣,10-15分鐘,□ 已完成,□ 1-5分,
10,第1期,適應運動習慣,10-15分鐘,□ 已完成,□ 1-5分,
11,第2期,增加運動時間,12-15分鐘,□ 已完成,□ 1-5分,
12,第2期,增加運動時間,12-15分鐘,□ 已完成,□ 1-5分,
13,第2期,增加運動時間,12-15分鐘,□ 已完成,□ 1-5分,
14,第2期,增加運動時間,12-15分鐘,□ 已完成,□ 1-5分,
15,第2期,增加運動時間,12-15分鐘,□ 已完成,□ 1-5分,
16,第2期,增加運動時間,12-15分鐘,□ 已完成,□ 1-5分,
17,第2期,增加運動時間,12-15分鐘,□ 已完成,□ 1-5分,
18,第2期,增加運動時間,12-15分鐘,□ 已完成,□ 1-5分,
19,第2期,增加運動時間,12-15分鐘,□ 已完成,□ 1-5分,
20,第2期,增加運動時間,12-15分鐘,□ 已完成,□ 1-5分,
21,第3期,強化肌肉力量,15分鐘,□ 已完成,□ 1-5分,
22,第3期,強化肌肉力量,15分鐘,□ 已完成,□ 1-5分,
23,第3期,強化肌肉力量,15分鐘,□ 已完成,□ 1-5分,
24,第3期,強化肌肉力量,15分鐘,□ 已完成,□ 1-5分,
25,第3期,強化肌肉力量,15分鐘,□ 已完成,□ 1-5分,
26,第3期,強化肌肉力量,15分鐘,□ 已完成,□ 1-5分,
27,第3期,強化肌肉力量,15分鐘,□ 已完成,□ 1-5分,
28,第3期,強化肌肉力量,15分鐘,□ 已完成,□ 1-5分,
29,第3期,強化肌肉力量,15分鐘,□ 已完成,□ 1-5分,
30,第3期,強化肌肉力量,15分鐘,□ 已完成,□ 1-5分,
31,第4期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
32,第4期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
33,第4期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
34,第4期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
35,第4期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
36,第4期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
37,第4期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
38,第4期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
39,第4期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
40,第4期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
41,第5期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
42,第5期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
43,第5期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
44,第5期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
45,第5期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
46,第5期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
47,第5期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
48,第5期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
49,第5期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
50,第5期,持續提升和鞏固成果,15分鐘,□ 已完成,□ 1-5分,
51,第6期,維持成果，持續改善,15分鐘,□ 已完成,□ 1-5分,
52,第6期,維持成果，持續改善,15分鐘,□ 已完成,□ 1-5分,
53,第6期,維持成果，持續改善,15分鐘,□ 已完成,□ 1-5分,
